# udjeli komponenti
0.15;0.20;0.30;0.10;0.10;0.10;0.05
#

# rezultati studenta
0036438919;Bagaric;Magdalena;91.5;90.75;88.25;100;87.5;87.5;90
5890261887;Lombarović;Ivana;74.61;87.02;92.71;56.12;90.94;41.06;78.18
7596646702;Bagarić;Ana;93.91;82.0;87.83;75.73;65.16;92.2;57.89
6781460648;Novak;Magdalena;55.15;65.73;46.82;90.19;78.2;56.0;62.3
4217963057;Jurić;Ivan;54.89;44.8;77.95;62.73;70.37;45.67;56.65
1272066740;Marić;Magdalena;62.99;92.2;51.37;45.14;92.34;73.36;-
4532751660;Horvat;Magdalena;47.29;72.29;-;-;57.35;54.82;-
7145438080;Marić;Martina;80.69;70.63;56.46;59.92;83.65;68.7;-
7468356578;Bagarić;Petra;93.97;97.33;70.66;69.78;56.34;-;58.44
4867068723;Babić;Martina;61.69;87.54;41.15;52.57;68.77;59.4;86.93
2403770305;Petrović;Ivan;89.61;50.24;75.28;54.54;74.59;48.34;56.23
6009895797;Kovačević;Petra;76.09;58.23;82.34;93.75;94.11;-;50.35
8884048311;Petrović;Petra;96.07;-;59.62;45.79;42.69;-;62.11
2435400036;Bajer;Mladen;43.31;58.84;79.15;96.0;41.43;64.82;64.21
2442394911;Horvat;Petra;63.18;55.16;47.78;46.37;93.19;86.7;63.35
6928752244;Bagarić;Ivana;56.35;69.3;95.98;89.39;86.48;84.41;82.91
2962878670;Marić;Nikola;89.94;79.14;83.55;42.45;91.86;42.6;71.43
8325245666;Jurić;Mladen;57.46;89.11;58.46;83.26;60.4;45.1;44.17
5789688706;Kovačević;Marko;60.3;98.77;86.16;98.04;57.72;80.33;55.49
5488864309;Novak;Martina;78.12;96.69;50.41;98.79;56.68;62.01;74.38
5188142918;Lombarović;Magdalena;41.06;90.86;77.36;61.14;69.25;92.61;70.28
